name,受理申请项数,受理申请金额,批准资助项数,批准资助金额
数理科学部,870,35067.66,175,6990
数学,397,15218.79,78,2951
力学,117,4996.01,24,992
天文学,33,1398.54,7,297
物理学I,232,9630.84,47,1988
物理学II,91,3823.48,19,762
化学科学部,1350,57736.06,235,9400
化学综合处,0,0,0,0
合成化学,257,10953.03,45,1800
催化与表界面化学,135,5842.52,23,920
化学理论与机制,55,2318.9,10,400
化学测量学,148,6392.15,26,1040
材料化学与能源化学,228,9721.67,40,1600
环境化学,188,7991.59,33,1320
化学生物学,121,5148.35,20,800
化学工程与工业化学,218,9367.85,38,1520
生命科学部,3871,167335.42,739,29260
微生物学、植物学,544,23288.86,102,4038
生态学、林学,729,31627,139,5520
生物物理、生化与生物分子学、生物力学与组织工程、免疫学,131,5582.3,25,974
神经、认识与心理学、生理学与整合生物学,146,6167.63,28,1131
遗传学与生物信息学、细胞生物学、发育生物学与生殖生物学,180,7716.33,36,1396
食品科学、农学基础与作物学,765,33019.88,145,5754
植物保护学、园艺学与植物营养学,633,27152.53,122,4819
动物学、畜牧学与草地科学、兽医学、水产学,743,32780.89,142,5628
地球科学部,1064,46869.54,179,7140
综合与战略规划处,0,0,0,0
地理学,367,15961.91,62,2463
地质学,75,3359.11,13,503
地球化学,31,1368.76,5,208
地球物理学和空间物理学,43,1852.29,7,288
大气科学学科,60,2656.28,10,403
海洋科学,48,2245.26,8,322
环境地球科学和土壤学,440,19425.93,74,2953
工程与材料科学部,2333,98310.07,344,13750
金属材料学科,221,9367.86,34,1340
无机非金属材料学科,233,9810.71,36,1478
有机高分子材料学科,147,6273.36,22,874
冶金与矿业学科,297,12487.76,46,1828
机械工程学科,403,17109.79,59,2344
工程热物理与能源利用学科,117,5035.92,17,674
电气科学与工程学科,155,6476.66,22,897
建筑环境与结构工程学科,553,22813.14,76,3020
水利科学与海洋工程学科,207,8934.87,32,1295
信息科学部,1463,60181.97,225,8519
电子学与信息系统,293,12232.97,47,1739
计算机科学学科,431,17350.89,68,2590
自动化学科,569,23443.55,83,3142
半导体科学、光学和光电子学,170,7154.56,27,1048
管理科学部,938,31604.99,145,4074
管理科学与工程,209,7095.45,34,955.3
工商管理,244,7879.96,37,1039.6
经济科学,234,7959.11,36,1011.5
宏观管理与政策,251,8670.47,38,1067.6
医学科学部,6011,249362.48,895,31200
医学科学一处,560,23353.02,96,3347
医学科学二处,686,28713.73,107,3708
医学科学三处,476,19809.67,58,2026
医学科学四处,256,10825.58,39,1362
医学科学五处,220,8979.42,32,1109
医学科学六处,557,22913.93,79,2755
医学科学七处,1140,47548.72,136,4712
医学科学八处,306,12837.94,61,2150
医学科学九处,366,15299.67,58,2029
医学科学十处,1444,59080.8,229,8002
