name,受理申请项数,受理申请金额,批准资助项数,批准资助金额
数理科学部,6544,442589.39,1743,104640
数学,1835,100169.22,489,25428
力学,1444,106578.25,383,24247
天文学,384,28124.58,103,6504
物理学I,1645,116055.08,438,27638
物理学II,1236,91662.27,330,20823
化学科学部,7811,553452.43,1737,113180
化学综合处,0,0,0,0
合成化学,1287,92979.22,301,19584
催化与表界面化学,767,54139.5,176,11470
化学理论与机制,522,36587.15,116,7561
化学测量学,717,51306.31,159,10363
材料化学与能源化学,1369,97150.88,293,19099
环境化学,972,68960.08,214,13948
化学生物学,608,43377.84,134,8734
化学工程与工业化学,1569,108951.44,344,22421
生命科学部,12664,890474.1,3048,177470
微生物学、植物学,1575,111489.43,415,24240
生态学、林学,1758,120487.69,399,23283
生物物理、生化与生物分子学、生物力学与组织工程、免疫学,1293,93774.17,349,20315
神经、认识与心理学、生理学与整合生物学,897,64872.33,242,14004
遗传学与生物信息学、细胞生物学、发育生物学与生殖生物学,1188,87483.55,343,19917
食品科学、农学基础与作物学,2256,155317.4,459,26794
植物保护学、园艺学与植物营养学,1501,104251.62,322,18773
动物学、畜牧学与草地科学、兽医学、水产学,2196,152797.9,519,30144
地球科学部,7111,544434.15,1895,117210
综合与战略规划处,0,0,0,0
地理学,1638,116822.43,382,22394
地质学,910,76817.64,255,16746
地球化学,197,16799.39,76,4810
地球物理学和空间物理学,729,56544.86,218,13692
大气科学学科,589,45696.63,184,11511
海洋科学,862,66359.52,231,14378
环境地球科学和土壤学,2186,165393.69,549,33679
工程与材料科学部,16863,1145730.75,3199,192088
金属材料学科,1371,93504.75,250,14989
无机非金属材料学科,1725,119634.91,341,20473
有机高分子材料学科,1246,86754.39,240,14374
冶金与矿业学科,2022,136866.98,372,22364
机械工程学科,3077,205385.8,586,35158
工程热物理与能源利用学科,1128,79077.78,226,13548
电气科学与工程学科,1142,77384.82,216,13028
建筑环境与结构工程学科,3596,240206.32,676,40590
水利科学与海洋工程学科,1556,106915.01,292,17564
信息科学部,10558,707946.69,2007,120037
电子学与信息系统,2401,160850.09,478,28754
计算机科学学科,2182,143162.93,460,27535
自动化学科,3641,238542.49,632,37571
半导体科学、光学和光电子学,2334,165391.18,437,26177
管理科学部,4519,234972.7,803,38544
管理科学与工程,1181,61795.47,235,11280
工商管理,1077,55378.17,200,9600
经济科学,940,47796.84,153,7344
宏观管理与政策,1321,70002.22,215,10320
医学科学部,26552,1800507.74,4515,252120
医学科学一处,2824,192996.24,512,28595
医学科学二处,3506,239497.77,627,35070
医学科学三处,2262,155423.44,401,22477
医学科学四处,1392,95183.98,266,14859
医学科学五处,1603,108679.98,256,14229
医学科学六处,2624,176447.62,432,24001
医学科学七处,5188,353445.86,855,47885
医学科学八处,1151,81087.88,256,14377
医学科学九处,1451,100786.52,273,15200
医学科学十处,4551,296958.47,637,35427
